Locus	FC	SE	Genotype	Treatment	GeneID	WTFC	PHPFC	pointcolor	fcdiff
101	Os04g0673300	19.7734494932497	3.22270761069675	Kitaake	5uM	OsRR6	19.7734494932497	4.50426837377241	outside	-15.2691811194773
119	Os12g0139400	16.7131383666345	0.823999908245747	Kitaake	5uM	OsRR10	16.7131383666345	2.72935804865184	outside	-13.9837803179827
39	Os12g0139400	14.337627382509	1.28625123420751	Kitaake	100nM	OsRR10	14.337627382509	2.10899586836195	outside	-12.2286315141471
21	Os04g0673300	12.332036654188	2.02283896499004	Kitaake	100nM	OsRR6	12.332036654188	2.80721823605306	outside	-9.52481841813496
117	Os11g0143300	11.2116833660052	0.310765882724713	Kitaake	5uM	OsRR9	11.2116833660052	2.38556845355663	outside	-8.82611491244857
37	Os11g0143300	9.74151771065546	0.648490469997833	Kitaake	100nM	OsRR9	9.74151771065546	1.62293940955288	outside	-8.11857830110258
100	Os04g0524300	6.14421806116641	0.897709283801833	Kitaake	5uM	OsRR5	6.14421806116641	12.0772818636692	inside	5.93306380250282
20	Os04g0524300	5.70339267441611	0.591105995794103	Kitaake	100nM	OsRR5	5.70339267441611	9.94885603490343	inside	4.24546336048732
84	Os01g0952500	6.60864660189593	0.314767638345661	Kitaake	5uM	OsRR4	6.60864660189593	3.63131067848485	inside	-2.97733592341108
4	Os01g0952500	5.38979466450263	0.228996531319497	Kitaake	100nM	OsRR4	5.38979466450263	3.03145074505493	inside	-2.3583439194477
99	Os04g0442300	9.52210919688556	1.2804336844301	Kitaake	5uM	OsRR1	9.52210919688556	7.28600852620203	inside	-2.23610067068353
6	Os02g0557800	4.81569480511542	0.457526455162115	Kitaake	100nM	OsRR2	4.81569480511542	2.89415559597795	inside	-1.92153920913747
19	Os04g0442300	6.140255823275	0.700700562115469	Kitaake	100nM	OsRR1	6.140255823275	5.20248965720726	inside	-0.937766166067742
86	Os02g0557800	4.66277927900406	0.258545654453985	Kitaake	5uM	OsRR2	4.66277927900406	3.75638635329667	inside	-0.906392925707391
113	Os09g0532400	0.894456088427559	0.09148749269488	Kitaake	5uM	OsPRR95	0.894456088427559	1.54732143842391	inside	0.652865349996348
33	Os09g0532400	0.851796563444823	0.062842033217125	Kitaake	100nM	OsPRR95	0.851796563444823	1.10772004819449	inside	0.255923484749667
14	Os03g0717700	2.13770150300227	0.1248957743401	Kitaake	100nM	OsHK4	2.13770150300227	1.90011712314018	inside	-0.237584379862089
2	Os01g0904700	0.456924572938336	0.0226621543982638	Kitaake	100nM	OsRR26	0.456924572938336	0.631470949953155	inside	0.17454637701482
82	Os01g0904700	0.370872527599745	0.0136792111626508	Kitaake	5uM	OsRR26	0.370872527599745	0.515790165960696	inside	0.14491763836095
104	Os06g0183100	0.749552709145912	0.0529388453806613	Kitaake	5uM	OsRR22	0.749552709145912	0.617143674485747	inside	-0.132409034660165
24	Os06g0183100	0.821293397996835	0.0330858218440406	Kitaake	100nM	OsRR22	0.821293397996835	0.729946095188868	inside	-0.0913473028079677
115	Os10g0362300	0.641135808390808	0.0444024841806023	Kitaake	5uM	OsHK5	0.641135808390808	0.717845699091966	inside	0.0767098907011574
94	Os03g0717700	2.37811022870994	0.103425367893341	Kitaake	5uM	OsHK4	2.37811022870994	2.32365334851434	inside	-0.0544568801956062
35	Os10g0362300	0.625373302761076	0.0593469535998607	Kitaake	100nM	OsHK5	0.625373302761076	0.669811592904609	inside	0.0444382901435326
3	Os01g0923700	0.49615698362688	0.0279086405373558	Kitaake	100nM	OsHK3	0.49615698362688	0.479262465919843	inside	-0.0168945177070368
83	Os01g0923700	0.395401844309944	0.0185107396824666	Kitaake	5uM	OsHK3	0.395401844309944	0.39114441786905	inside	-0.00425742644089311
