GeneID	Locus
OsHK3	Os01g0923700
OsHK4	Os03g0717700
OsHK5	Os10g0362300
OsHK6	Os02g0738400
OsHK6	Os02g0738500
OsCRL4	Os12g0454800
OsAHP1	Os08g0557700
OsAHP2	Os09g0567400
OsPHP1	Os01g0743800
OsPHP2	Os05g0186100
OsPHP3	Os05g0521300
OsRR1	Os04g0442300
OsRR2	Os02g0557800
OsRR3	Os02g0830200
OsRR4	Os01g0952500
OsRR5	Os04g0524300
OsRR6	Os04g0673300
OsRR7	Os07g0449700
OsRR8	Os08g0376700
OsRR9	Os11g0143300
OsRR10	Os12g0139400
OsRR11	Os02g0631700
OsRR12	Os08g0377200
OsRR13	Os08g0358800
OsRR21	Os03g0224200
OsRR22	Os06g0183100
OsRR23	Os02g0796500
OsRR24	Os02g0182100
OsRR25	Os06g0647200
OsRR26	Os01g0904700
OsRR27	Os05g0395600 
OsRR28	Os04g0349100
OsRR29	Os04g0348800
OsRR30	Os10g0463400
OsRR31	Os08g0458400
OsRR32	Os08g0279900
OsRR33	Os08g0458600
OsRR41	Os03g0742300
OsRR42	Os04g0212450
OsPRR1	Os02g0618200
OsPRR37	Os07g0695100
OsPRR73	Os03g0284100
OsPRR59	Os11g0157600
OsPRR95	Os09g0532400
OsPRR10	Os05g0395700
OsPRR11	Os04g0349000
OsPRR12	Os04g0348600
