V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0132766	957.613050434172	3483.48410332465	4376.93423786704	4160.92189965572	4481.14922855472	4541.05014668713	1591.62246430743	3700.91058935911	4199.51316616116	3403.20707813506	4442.83437078277	3963.38049168377	1195.97567834524	4930.8672607103	3444.48448305724	4880.91913318653	4964.58575486524	4072.83261834533
Os01g0135700	102.578622953836	219.043462965048	238.46729507003	131.098464318899	255.728385282454	259.295160349272	81.8694322464837	128.831097056959	249.992675531502	238.637349930851	291.677031701604	287.3639520302	118.688958371529	156.223938234084	220.953495254988	206.900799225578	254.10175961569	337.600191662634
Os01g0149800	2277.04287807365	2273.03292491836	2330.93909972391	4266.37712258989	3621.29773584093	3445.39811088293	2014.59529953686	2400.30214956197	1488.46660871096	2436.40632497795	3544.91993852051	3186.07211672393	1964.89398673971	2659.50550658953	1549.39957664552	3857.8473722805	4202.46280227338	3047.4186724318
Os01g0177900	68.1441169438908	70.9806408709637	96.0301924826271	103.642471476219	126.658295067111	150.249036121398	85.5039234137733	87.3914038892642	94.3766958617885	143.952028205123	157.361697561655	229.956092733593	79.7657579529615	104.457190333144	89.3506672813043	160.791969696692	165.482805179699	152.698340712529
Os01g0179000	1243.43086566335	2380.73098281189	3001.37503248767	1694.39224217768	1785.16088072605	2207.96145161373	1256.40182054889	2532.22256814852	3957.29416097173	2422.10949013513	2711.78042048664	2024.83253262026	1055.69190758643	2370.43309461563	2894.48068098291	1930.03381552207	1951.39259485238	1764.07729136547
Os01g0186950	9.06347222948527	55.6878282163747	85.0990436188362	30.3720096200474	14.3477676577126	37.8726637299423	11.7647176370605	27.0248192864912	154.667036278716	205.441746982668	196.864756505259	40.3069003140402	48.9225729783167	44.007101428946	59.6289561996146	149.976578810028	153.905519814027	173.126126179017
Os01g0187900	225.4913484512	253.546869608461	240.116094033438	452.055242620643	440.436969539817	333.739927942415	261.535708519527	197.602732647431	190.39901001182	365.342066060646	313.530056704258	220.35912474068	270.253740655208	301.625243116648	262.042651167604	420.988882849123	337.557017605418	285.822170633589
Os01g0189700	69.6528660406156	108.712891539821	134.559069044668	225.870823288868	217.975953647235	180.386051053171	103.771679438647	143.732065576516	72.6913681507255	224.98190608877	201.641698783492	169.43693573252	73.5501714950291	159.812077085414	118.319919144931	148.095945918958	161.804030488479	199.815158263298
Os01g0190000	148.548626707407	185.735859490277	188.360276613027	339.286788557852	256.110046452053	225.913017210871	211.02678850753	271.838943171931	222.509279509428	240.354465346673	284.536299813661	275.931180328133	268.851229205759	358.238702796873	212.659087414904	430.515047789965	263.872272990462	332.194484723823
Os01g0191200	120.021466843678	77.1720752688168	43.4370537104286	249.976911812951	73.4494178406311	106.266826320345	86.9211445521033	71.606875809716	29.5819071124187	203.102472461405	122.065060424744	180.293249529198	141.027223153039	92.3662248657163	39.8577494654856	335.291061290574	81.0667147872304	85.9384112515183
Os01g0191900	524.289500319634	732.989590919226	793.406175821179	786.759145722194	791.849946970925	1002.39909604331	529.544606547908	819.41781512838	772.198004794294	711.597400824961	950.521108380783	836.48903238468	507.059641153022	954.684984941657	757.925588053645	993.726584632329	1002.61587599513	1116.11459991653
Os01g0192300	484.265273437892	775.166676240678	658.646157188856	823.937914314521	888.465346252173	564.088504037307	497.435138214322	1406.11718748776	945.293079084187	1011.94539694572	1268.86388426995	593.571712227232	412.732793671366	1337.26147308511	1043.84768014387	959.265670095285	1135.79830755967	541.706091207882
Os01g0192900	189.557605514582	852.206958291632	720.923662219267	564.856151917386	475.572775371808	502.297916836204	151.236627353734	424.205937796448	621.369083771695	373.439967392528	438.05721192953	545.158729682788	220.448638344104	391.395607430195	694.256788975285	367.196942525451	609.935346883891	445.447182497769
Os01g0202500	256.362889444327	262.935385419399	352.978400033689	391.770170705026	483.552849920178	391.991730203209	197.041759478779	295.077639318741	223.766012838317	300.844356558557	385.8236178479	295.003338673388	229.667447050455	426.796855067289	354.896760829793	407.13836392749	613.026408774482	361.211101159025
Os01g0207300	0.868457118196128	0	0	61.0560990078122	97.9524564172159	53.3239061046682	0	0	0	45.455796145126	73.9980685496668	78.9858673599196	0	0	0	73.4250006878014	135.66704282874	117.796822509835
Os01g0207400	347.736380187011	540.699208580755	532.283248393994	533.799291981954	768.134932156776	442.527196987314	324.121018525832	744.757997048476	594.350149870387	469.4686698243	690.981166385624	409.682115745199	356.355035933445	850.060629174482	597.28220691451	810.853827114623	732.133113850522	765.766474684619
