Geneid	Length
LOC_Os01g01010	3030
LOC_Os01g01019	1127
LOC_Os01g01030	2464
LOC_Os01g01040	2658
LOC_Os01g01050	2039
LOC_Os01g01060	920
LOC_Os01g01070	1894
LOC_Os01g01080	2063
LOC_Os01g01090	2409
LOC_Os01g01100	4017
LOC_Os01g01110	894
LOC_Os01g01115	2433
LOC_Os01g01120	1206
LOC_Os01g01130	2002
LOC_Os01g01140	393
LOC_Os01g01150	5235
LOC_Os01g01160	1090
LOC_Os01g01170	2334
LOC_Os01g01180	219
LOC_Os01g01190	1869
LOC_Os01g01200	2373
LOC_Os01g01210	639
LOC_Os01g01230	663
LOC_Os01g01240	4689
LOC_Os01g01250	2499
LOC_Os01g01260	6084
LOC_Os01g01270	3840
LOC_Os01g01280	1226
LOC_Os01g01290	1556
LOC_Os01g01295	1793
LOC_Os01g01302	1155
LOC_Os01g01307	981
LOC_Os01g01312	4165
LOC_Os01g01320	2808
LOC_Os01g01330	1223
LOC_Os01g01340	1739
LOC_Os01g01350	1574
LOC_Os01g01360	2503
LOC_Os01g01369	1545
LOC_Os01g01380	3482
LOC_Os01g01390	2261
LOC_Os01g01400	2735
LOC_Os01g01410	2489
LOC_Os01g01420	2039
LOC_Os01g01430	1425
LOC_Os01g01440	381
LOC_Os01g01450	1636
LOC_Os01g01460	312
LOC_Os01g01470	1558
LOC_Os01g01484	2505
LOC_Os01g01500	303
LOC_Os01g01510	2532
LOC_Os01g01520	1745
LOC_Os01g01530	1350
LOC_Os01g01540	513
LOC_Os01g01550	1329
LOC_Os01g01560	2240
LOC_Os01g01570	1950
LOC_Os01g01580	692
LOC_Os01g01590	339
LOC_Os01g01600	1700
LOC_Os01g01610	837
LOC_Os01g01620	1609
LOC_Os01g01640	1026
LOC_Os01g01650	1313
LOC_Os01g01660	1207
LOC_Os01g01670	1345
LOC_Os01g01680	1023
LOC_Os01g01689	9133
LOC_Os01g01700	779
LOC_Os01g01710	2222
LOC_Os01g01720	1913
LOC_Os01g01730	573
LOC_Os01g01740	2068
LOC_Os01g01760	711
LOC_Os01g01770	1005
LOC_Os01g01780	2084
LOC_Os01g01790	2588
LOC_Os01g01800	3136
LOC_Os01g01810	318
LOC_Os01g01830	3274
LOC_Os01g01840	1284
LOC_Os01g01850	6084
LOC_Os01g01860	3144
LOC_Os01g01870	1347
LOC_Os01g01880	625
LOC_Os01g01890	2374
LOC_Os01g01900	3243
LOC_Os01g01910	765
LOC_Os01g01920	2324
LOC_Os01g01925	579
LOC_Os01g01930	726
LOC_Os01g01940	1243
LOC_Os01g01950	663
LOC_Os01g01960	4570
LOC_Os01g01970	1201
LOC_Os01g01980	642
LOC_Os01g01990	354
LOC_Os01g02000	2767
LOC_Os01g02010	1408
LOC_Os01g02020	2336
LOC_Os01g02040	3261
LOC_Os01g02050	3492
LOC_Os01g02060	2088
LOC_Os01g02070	483
LOC_Os01g02080	1234
LOC_Os01g02090	2454
LOC_Os01g02100	2668
LOC_Os01g02110	1475
LOC_Os01g02120	1055
LOC_Os01g02130	945
LOC_Os01g02139	527
LOC_Os01g02150	1049
LOC_Os01g02160	821
LOC_Os01g02170	4389
LOC_Os01g02180	2139
LOC_Os01g02190	1045
LOC_Os01g02200	1607
LOC_Os01g02210	1935
LOC_Os01g02220	2454
LOC_Os01g02230	2898
LOC_Os01g02240	4758
LOC_Os01g02250	4035
LOC_Os01g02260	1185
LOC_Os01g02270	3504
LOC_Os01g02280	5367
LOC_Os01g02290	2101
LOC_Os01g02300	2467
LOC_Os01g02310	1884
LOC_Os01g02320	2816
LOC_Os01g02334	632
LOC_Os01g02350	2646
LOC_Os01g02360	2399
LOC_Os01g02370	2192
LOC_Os01g02380	3615
LOC_Os01g02390	2259
LOC_Os01g02400	3414
LOC_Os01g02410	2136
LOC_Os01g02420	1743
LOC_Os01g02430	2095
LOC_Os01g02440	1686
LOC_Os01g02450	393
LOC_Os01g02460	915
LOC_Os01g02470	486
LOC_Os01g02480	414
LOC_Os01g02490	1482
LOC_Os01g02500	615
LOC_Os01g02510	794
LOC_Os01g02520	2565
LOC_Os01g02530	5814
LOC_Os01g02540	3765
LOC_Os01g02550	2202
LOC_Os01g02560	2059
LOC_Os01g02570	2019
LOC_Os01g02580	1941
LOC_Os01g02590	2487
LOC_Os01g02600	1803
LOC_Os01g02610	2682
LOC_Os01g02629	1743
LOC_Os01g02650	6084
LOC_Os01g02660	3084
LOC_Os01g02670	3312
LOC_Os01g02680	2282
LOC_Os01g02690	1926
LOC_Os01g02700	2361
LOC_Os01g02710	603
LOC_Os01g02720	2606
LOC_Os01g02730	1878
LOC_Os01g02740	8799
LOC_Os01g02750	1390
LOC_Os01g02760	2139
LOC_Os01g02770	1992
LOC_Os01g02780	2373
LOC_Os01g02790	1464
LOC_Os01g02800	2267
LOC_Os01g02810	1926
LOC_Os01g02830	2360
LOC_Os01g02840	1911
LOC_Os01g02850	174
LOC_Os01g02860	3042
LOC_Os01g02870	1503
LOC_Os01g02880	1531
LOC_Os01g02884	2847
LOC_Os01g02890	2918
LOC_Os01g02900	2110
LOC_Os01g02910	2195
LOC_Os01g02920	2288
LOC_Os01g02930	1950
LOC_Os01g02940	2715
LOC_Os01g02950	1143
LOC_Os01g02960	1861
LOC_Os01g02970	780
LOC_Os01g02980	1629
LOC_Os01g02990	384
LOC_Os01g02999	141
LOC_Os01g03010	405
LOC_Os01g03020	3417
LOC_Os01g03030	1574
LOC_Os01g03040	1049
LOC_Os01g03050	1494
LOC_Os01g03060	1963
LOC_Os01g03070	3512
LOC_Os01g03080	1001
